Date,Temp
2021-03-17,84.3
2021-03-18,83.3
2021-03-19,82.2
2021-03-20,82.1
2021-03-21,83.4
2021-03-22,85.4
2021-03-23,84.4
2021-03-24,85.1
2021-03-25,86.1
2021-03-26,86.6
2021-03-27,87.6
2021-03-28,86.8
2021-03-29,87.7
2021-03-30,88.8
2021-03-31,87.8
2021-04-01,88.2
2021-04-02,88.6
2021-04-03,88.1
2021-04-04,88.5
2021-04-05,87.8
2021-04-06,88.2
2021-04-07,87.4
2021-04-08,87.8
2021-04-09,87.3
2021-04-10,86.2
2021-04-11,85.0
2021-04-12,86.1
2021-04-13,86.3
2021-04-14,84.1
2021-04-15,84.4
2021-04-16,86.9
2021-04-17,88.3
2021-04-18,88.8
2021-04-19,89.6
2021-04-20,89.3
2021-04-21,88.3
2021-04-22,88.4
2021-04-23,87.1
2021-04-24,88.6
2021-04-25,89.9
2021-04-26,89.5
2021-04-27,89.7
2021-04-28,90.1
2021-04-29,90.1
2021-04-30,89.3
2021-05-01,88.8
2021-05-02,87.8
2021-05-03,87.4
2021-05-04,88.7
2021-05-05,89.3
2021-05-06,88.9
2021-05-07,89.7
2021-05-08,90.0
2021-05-09,90.6
2021-05-10,91.4
2021-05-11,89.7
2021-05-12,89.0
2021-05-13,89.8
2021-05-14,90.1
2021-05-15,87.9
2021-05-16,85.5
2021-05-17,88.3
2021-05-18,89.5
2021-05-19,90.2
2021-05-20,87.6
2021-05-21,88.4
2021-05-22,87.7
2021-05-23,90.6
2021-05-24,89.9
2021-05-25,91.5
2021-05-26,92.8
2021-05-27,91.3
2021-05-28,90.9
2021-05-29,90.3
2021-05-30,91.6
2021-05-31,91.5
2021-06-01,89.7
2021-06-02,87.3
2021-06-03,83.5
2021-06-04,86.6
2021-06-05,87.0
2021-06-06,86.6
2021-06-07,88.5
2021-06-08,89.7
2021-06-09,87.6
2021-06-10,86.4
2021-06-11,82.2
2021-06-12,85.6
2021-06-13,83.9
2021-06-14,84.1
2021-06-15,84.5
2021-06-16,84.8
2021-06-17,82.9
2021-06-18,85.2
2021-06-19,85.6
2021-06-20,86.4
2021-06-21,88.3
2021-06-22,88.1
2021-06-23,87.6
2021-06-24,84.7
2021-06-25,86.6
2021-06-26,86.4
2021-06-27,81.1
2021-06-28,84.1
2021-06-29,87.1
2021-06-30,88.4
2021-07-01,86.2
2021-07-02,83.1
2021-07-03,86.2
2021-07-04,87.6
2021-07-05,86.6
2021-07-06,86.4
2021-07-07,85.7
2021-07-08,81.9
2021-07-09,83.6
2021-07-10,83.8
2021-07-11,81.6
2021-07-12,81.1
2021-07-13,79.5
2021-07-14,78.9
2021-07-15,80.4
2021-07-16,82.3
2021-07-17,83.6
2021-07-18,83.0
2021-07-19,83.5
2021-07-20,84.0
2021-07-21,78.1
2021-07-22,76.2
2021-07-23,79.7
2021-07-24,83.5
2021-07-25,85.3
2021-07-26,85.9
2021-07-27,86.3
2021-07-28,85.9
2021-07-29,84.4
2021-07-30,84.8
2021-07-31,83.9
2021-08-01,85.2
2021-08-02,85.3
2021-08-03,85.5
2021-08-04,86.4
2021-08-05,86.0
2021-08-06,86.5
2021-08-07,87.1
2021-08-08,86.2
2021-08-09,87.2
2021-08-10,86.7
2021-08-11,86.6
2021-08-12,85.5
2021-08-13,83.6
2021-08-14,84.5
2021-08-15,84.4
2021-08-16,79.0
2021-08-17,79.3
2021-08-18,81.4
2021-08-19,83.7
2021-08-20,83.3
2021-08-21,81.0
2021-08-22,83.4
2021-08-23,84.4
2021-08-24,85.5
2021-08-25,84.9
2021-08-26,82.5
2021-08-27,81.9
2021-08-28,80.4
2021-08-29,81.1
2021-08-30,79.1
2021-08-31,80.3
2021-09-01,80.6
2021-09-02,82.8
2021-09-03,81.4
2021-09-04,81.2
2021-09-05,80.9
2021-09-06,79.0
2021-09-07,79.2
2021-09-08,82.9
2021-09-09,84.0
2021-09-10,84.6
2021-09-11,84.7
2021-09-12,84.1
2021-09-13,84.5
2021-09-14,83.7
2021-09-15,84.5
2021-09-16,84.6
2021-09-17,84.0
2021-09-18,83.9
2021-09-19,83.3
2021-09-20,81.6
2021-09-21,81.2
2021-09-22,81.5
2021-09-23,81.6
2021-09-24,83.3
2021-09-25,83.6
2021-09-26,82.7
2021-09-27,79.2
2021-09-28,80.8
2021-09-29,82.3
2021-09-30,83.4
2021-10-01,83.7
2021-10-02,84.4
2021-10-03,84.6
2021-10-04,84.6
2021-10-05,83.1
2021-10-06,82.7
2021-10-07,83.5
2021-10-08,84.6
2021-10-09,82.3
2021-10-10,83.3
2021-10-11,83.8
2021-10-12,82.5
2021-10-13,82.6
2021-10-14,84.0
2021-10-15,83.5
2021-10-16,78.5
2021-10-17,82.4
2021-10-18,83.4
2021-10-19,83.5
2021-10-20,82.8
2021-10-21,82.8
2021-10-22,82.0
2021-10-23,80.8
2021-10-24,80.1
2021-10-25,79.5
2021-10-26,79.7
2021-10-27,78.9
2021-10-28,79.1
2021-10-29,79.3
2021-10-30,79.6
2021-10-31,80.2
2021-11-01,77.5
2021-11-02,78.1
2021-11-03,78.0
2021-11-04,78.8
2021-11-05,79.1
2021-11-06,78.6
2021-11-07,78.9
2021-11-08,77.5
2021-11-09,75.1
2021-11-10,76.1
2021-11-11,75.3
2021-11-12,76.7
2021-11-13,78.7
2021-11-14,79.6
2021-11-15,80.4
2021-11-16,79.4
2021-11-17,78.9
2021-11-18,78.2
2021-11-19,77.0
2021-11-20,77.6
2021-11-21,78.1
2021-11-22,80.6
2021-11-23,81.4
2021-11-24,80.2
2021-11-25,79.2
2021-11-26,79.3
2021-11-27,75.9
2021-11-28,76.3
2021-11-29,75.6
2021-11-30,77.4
2021-12-01,76.9
2021-12-02,76.3
2021-12-03,76.7
2021-12-04,77.0
2021-12-05,77.6
2021-12-06,77.5
2021-12-07,78.0
2021-12-08,76.2
2021-12-09,77.8
2021-12-10,76.8
2021-12-11,76.6
2021-12-12,76.0
2021-12-13,75.6
2021-12-14,75.4
2021-12-15,74.3
2021-12-16,71.0
2021-12-17,71.3
2021-12-18,70.1
2021-12-19,69.4
2021-12-20,70.4
